Fecha,BTC_price,BTC_supply,MarketCapBTC_USD,M2SL_USD,m2_published,TxVolumeUSD,TxTfrCnt,Gold_price,Dominance_dec,DMB,MC2,MC1,RV12,UC
2018-12-01,3770.36,17455737.5,65814414440.5,14386800000000.0,True,17575230355.772007,265286.5714285714,1283.0,0.5363774193548387,-5.38722751971616,-6.707575853876722,-4.18661302684049,-1.1872295118963636,0.14576723641559725
2019-01-01,3470.0,17512300.0,60767681000.0,14459700000000.0,True,20180110246.24045,291889.25,1322.1,0.5225774193548387,-5.47206266346688,-6.5744232705553,-4.094284320664858,-1.1728802924546382,0.0903711318757808
2019-02-01,3833.23,17563862.5,67326324650.875,14506300000000.0,True,15333372009.005312,340981.14285714284,1299.2,0.5259071428571429,-5.372787002835,-6.852306686662746,-3.9417716269228276,-0.9237857578074269,0.10372145900731751
2019-03-01,4048.51,17620737.5,71337731976.125,14557500000000.0,True,16344007628.952679,307595.0,1298.5,0.5107774193548387,-5.318436216041926,-6.79200027942216,-4.048047771836955,-0.6529626915614559,0.04311635569227684
2019-04-01,5301.29,17674962.5,93700101951.625,14594700000000.0,True,21784018487.457817,361149.28571428574,1284.2,0.5230400000000001,-5.048314450784289,-6.507237124049874,-3.8906129624358705,-0.5551438304867616,0.09222531304613937
2019-05-01,8272.46,17733975.0,146703598828.49997,14704400000000.0,True,37976266905.96265,376046.75,1311.1,0.5663483870967743,-4.607487830967856,-5.958940638203152,-3.853524099450211,0.10993120075319172,0.26696793726147205
2019-06-01,11132.85,17790462.5,198058550443.125,14802800000000.0,True,45225126455.686646,357851.75,1413.7,0.57346,-4.314008934757511,-5.790918803624287,-3.90629898358367,0.5191865177938704,0.29598203780101046
2019-07-01,9501.33,17850087.5,169599571866.375,14886800000000.0,True,43236703299.493195,337924.4285714286,1432.4,0.6412677419354839,-4.474789994264783,-5.841540445299529,-3.9669414027803884,-0.0035097933559871397,0.5808707528594125
2019-08-01,9577.99,17908537.5,171527793089.625,14974400000000.0,True,35651398515.06664,327460.375,1529.4,0.679758064516129,-4.469352043095479,-6.040308980277998,-4.001665778040353,0.09077761370207274,0.7526601888662304
2019-09-01,8193.9,17966475.0,147215499502.5,15047000000000.0,True,46706632594.305504,335200.0,1489.0,0.6890166666666667,-4.627036418474,-5.77504773459471,-3.9815354316606233,-0.00696758523167848,0.7955261401927769
2019-10-01,9433.35,18023025.0,170017502883.75,15184100000000.0,True,31770977424.180485,316713.14285714284,1511.4,0.66538,-4.492102716817754,-6.169450893266092,-4.041408934033746,0.20439146237703085,0.6873627463946288
