date,value
2023-09-29,19499625.0
2023-09-30,19500487.5
2023-10-01,19501368.75
2023-10-02,19502350.0
2023-10-03,19503375.0
2023-10-04,19504193.75
2023-10-05,19505075.0
2023-10-06,19506075.0
2023-10-07,19507143.75
2023-10-08,19508068.75
2023-10-09,19509043.75
2023-10-10,19510056.25
2023-10-11,19511056.25
2023-10-12,19512087.5
2023-10-13,19512950.0
2023-10-14,19513862.5
2023-10-15,19514906.25
2023-10-16,19515787.5
2023-10-17,19516800.0
2023-10-18,19517706.25
2023-10-19,19518581.25
2023-10-20,19519418.75
2023-10-21,19520356.25
2023-10-22,19521312.5
2023-10-23,19522293.75
2023-10-24,19523081.25
2023-10-25,19523981.25
2023-10-26,19524918.75
2023-10-27,19525881.25
2023-10-28,19526881.25
2023-10-29,19527737.5
2023-10-30,19528712.5
2023-10-31,19529681.25
2023-11-01,19530612.5
2023-11-02,19531512.5
2023-11-03,19532362.5
2023-11-04,19533412.5
2023-11-05,19534431.25
2023-11-06,19535225.0
2023-11-07,19536056.25
2023-11-08,19536987.5
2023-11-09,19537881.25
2023-11-10,19538843.75
2023-11-11,19539843.75
2023-11-12,19540850.0
2023-11-13,19541606.25
2023-11-14,19542468.75
2023-11-15,19543393.75
2023-11-16,19544318.75
2023-11-17,19545256.25
2023-11-18,19546187.5
2023-11-19,19547250.0
2023-11-20,19548287.5
2023-11-21,19549237.5
2023-11-22,19550125.0
2023-11-23,19551043.75
2023-11-24,19552093.75
2023-11-25,19553087.5
2023-11-26,19554000.0
2023-11-27,19554812.5
2023-11-28,19555731.25
2023-11-29,19556581.25
2023-11-30,19557418.75
2023-12-01,19558475.0
2023-12-02,19559268.75
2023-12-03,19560300.0
2023-12-04,19561268.75
2023-12-05,19562131.25
2023-12-06,19562981.25
2023-12-07,19563700.0
2023-12-08,19564543.75
2023-12-09,19565525.0
2023-12-10,19566400.0
2023-12-11,19567387.5
2023-12-12,19568287.5
2023-12-13,19569218.75
2023-12-14,19570131.25
2023-12-15,19571150.0
2023-12-16,19572100.0
2023-12-17,19573037.5
2023-12-18,19574087.5
2023-12-19,19575100.0
2023-12-20,19576006.25
2023-12-21,19576918.75
2023-12-22,19577968.75
2023-12-23,19578968.75
2023-12-24,19580037.5
2023-12-25,19580906.25
2023-12-26,19581775.0
2023-12-27,19582581.25
2023-12-28,19583337.5
2023-12-29,19584281.25
2023-12-30,19585187.5
2023-12-31,19586162.5
2024-01-01,19587131.25
2024-01-02,19587950.0
2024-01-03,19588937.5
2024-01-04,19590000.0
2024-01-05,19590862.5
2024-01-06,19591737.5
2024-01-07,19592475.0
2024-01-08,19593243.75
2024-01-09,19594193.75
2024-01-10,19595025.0
2024-01-11,19596106.25
2024-01-12,19597156.25
2024-01-13,19598150.0
2024-01-14,19598950.0
2024-01-15,19599662.5
2024-01-16,19600443.75
2024-01-17,19601200.0
2024-01-18,19602087.5
2024-01-19,19602912.5
2024-01-20,19603806.25
2024-01-21,19604681.25
2024-01-22,19605681.25
2024-01-23,19606643.75
2024-01-24,19607581.25
2024-01-25,19608712.5
2024-01-26,19609662.5
2024-01-27,19610731.25
2024-01-28,19611731.25
2024-01-29,19612706.25
2024-01-30,19613606.25
2024-01-31,19614425.0
2024-02-01,19615381.25
2024-02-02,19616556.25
2024-02-03,19617500.0
2024-02-04,19618468.75
2024-02-05,19619443.75
2024-02-06,19620506.25
2024-02-07,19621506.25
2024-02-08,19622368.75
2024-02-09,19623406.25
2024-02-10,19624356.25
2024-02-11,19625212.5
2024-02-12,19626331.25
2024-02-13,19627175.0
2024-02-14,19628043.75
2024-02-15,19629025.0
2024-02-16,19629862.5
2024-02-17,19630800.0
2024-02-18,19631556.25
2024-02-19,19632406.25
2024-02-20,19633287.5
2024-02-21,19634150.0
2024-02-22,19634993.75
2024-02-23,19635987.5
2024-02-24,19636843.75
2024-02-25,19637868.75
2024-02-26,19638700.0
2024-02-27,19639506.25
2024-02-28,19640437.5
2024-02-29,19641268.75
2024-03-01,19642231.25
2024-03-02,19643025.0
2024-03-03,19643993.75
2024-03-04,19644800.0
2024-03-05,19645843.75
2024-03-06,19646718.75
2024-03-07,19647843.75
2024-03-08,19648806.25
2024-03-09,19649825.0
2024-03-10,19650718.75
2024-03-11,19651781.25
2024-03-12,19652662.5
2024-03-13,19653662.5
2024-03-14,19654543.75
2024-03-15,19655337.5
2024-03-16,19656237.5
2024-03-17,19657150.0
2024-03-18,19658050.0
2024-03-19,19659031.25
2024-03-20,19659962.5
2024-03-21,19660712.5
2024-03-22,19661556.25
2024-03-23,19662531.25
2024-03-24,19663593.75
2024-03-25,19664418.75
2024-03-26,19665256.25
2024-03-27,19666106.25
2024-03-28,19667056.25
2024-03-29,19667956.25
2024-03-30,19668925.0
2024-03-31,19669781.25
2024-04-01,19670718.75
2024-04-02,19671643.75
2024-04-03,19672531.25
2024-04-04,19673393.75
2024-04-05,19674318.75
2024-04-06,19675287.5
2024-04-07,19676350.0
2024-04-08,19677337.5
2024-04-09,19678250.0
2024-04-10,19679193.75
2024-04-11,19680018.75
2024-04-12,19680868.75
2024-04-13,19681893.75
2024-04-14,19682875.0
2024-04-15,19683756.25
2024-04-16,19684787.5
2024-04-17,19685643.75
2024-04-18,19686550.0
2024-04-19,19687493.75
2024-04-20,19687903.125
2024-04-21,19688340.625
2024-04-22,19688815.625
2024-04-23,19689340.625
2024-04-24,19689825.0
2024-04-25,19690275.0
2024-04-26,19690687.5
2024-04-27,19691125.0
2024-04-28,19691562.5
2024-04-29,19691971.875
2024-04-30,19692412.5
2024-05-01,19692825.0
2024-05-02,19693278.125
2024-05-03,19693681.25
2024-05-04,19694121.875
2024-05-05,19694556.25
2024-05-06,19694937.5
2024-05-07,19695318.75
2024-05-08,19695715.625
2024-05-09,19696168.75
2024-05-10,19696621.875
2024-05-11,19697118.75
2024-05-12,19697531.25
2024-05-13,19697990.625
2024-05-14,19698415.625
2024-05-15,19698856.25
2024-05-16,19699300.0
2024-05-17,19699784.375
2024-05-18,19700184.375
2024-05-19,19700665.625
2024-05-20,19701153.125
2024-05-21,19701584.375
2024-05-22,19702062.5
2024-05-23,19702590.625
2024-05-24,19703090.625
2024-05-25,19703590.625
2024-05-26,19704115.625
2024-05-27,19704500.0
2024-05-28,19704918.75
2024-05-29,19705346.875
2024-05-30,19705731.25
2024-05-31,19706193.75
2024-06-01,19706634.375
2024-06-02,19707071.875
2024-06-03,19707562.5
2024-06-04,19707981.25
2024-06-05,19708365.625
2024-06-06,19708781.25
2024-06-07,19709225.0
2024-06-08,19709762.5
2024-06-09,19710240.625
2024-06-10,19710675.0
2024-06-11,19711059.375
2024-06-12,19711515.625
2024-06-13,19711968.75
2024-06-14,19712368.75
2024-06-15,19712787.5
2024-06-16,19713296.875
2024-06-17,19713734.375
2024-06-18,19714209.375
2024-06-19,19714637.5
2024-06-20,19715053.125
2024-06-21,19715490.625
2024-06-22,19715965.625
2024-06-23,19716315.625
2024-06-24,19716790.625
2024-06-25,19717168.75
2024-06-26,19717556.25
2024-06-27,19717962.5
2024-06-28,19718384.375
2024-06-29,19718875.0
2024-06-30,19719253.125
2024-07-01,19719693.75
2024-07-02,19720156.25
2024-07-03,19720609.375
2024-07-04,19721046.875
2024-07-05,19721425.0
2024-07-06,19721940.625
2024-07-07,19722381.25
2024-07-08,19722878.125
2024-07-09,19723359.375
2024-07-10,19723784.375
2024-07-11,19724221.875
2024-07-12,19724690.625
2024-07-13,19725171.875
2024-07-14,19725693.75
2024-07-15,19726171.875
2024-07-16,19726631.25
2024-07-17,19727128.125
2024-07-18,19727531.25
2024-07-19,19727990.625
2024-07-20,19728506.25
2024-07-21,19729034.375
2024-07-22,19729593.75
