date,value
2016-10-27,326388.0
2016-10-31,241778.0
2016-11-04,248043.0
2016-11-08,296060.0
2016-11-12,228886.0
2016-11-16,289789.0
2016-11-20,243591.0
2016-11-24,328538.0
2016-11-28,298530.0
2016-12-02,315478.0
2016-12-06,319762.0
2016-12-10,250241.0
2016-12-14,286328.0
2016-12-18,235789.0
2016-12-22,314644.0
2016-12-26,244914.0
2016-12-30,286818.0
2017-01-03,301664.0
2017-01-07,282060.0
2017-01-11,303058.0
2017-01-15,235999.0
2017-01-19,300605.0
2017-01-23,235530.0
2017-01-27,263332.0
2017-01-31,307683.0
2017-02-04,284778.0
2017-02-08,308316.0
2017-02-12,237744.0
2017-02-16,283203.0
2017-02-20,282728.0
2017-02-24,343805.0
2017-02-28,325414.0
2017-03-04,265780.0
2017-03-08,297108.0
2017-03-12,221110.0
2017-03-16,327034.0
2017-03-20,277033.0
2017-03-24,289521.0
2017-03-28,294001.0
2017-04-01,255871.0
2017-04-05,316555.0
2017-04-09,238286.0
2017-04-13,228679.0
2017-04-17,245184.0
2017-04-21,330354.0
2017-04-25,325387.0
2017-04-29,341319.0
2017-05-03,295149.0
2017-05-07,316011.0
2017-05-11,294743.0
2017-05-15,329229.0
2017-05-19,319502.0
2017-05-23,367710.0
2017-05-27,331914.0
2017-05-31,321634.0
2017-06-04,266044.0
2017-06-08,307377.0
2017-06-12,269098.0
2017-06-16,269937.0
2017-06-20,269438.0
2017-06-24,227127.0
2017-06-28,279811.0
2017-07-02,196539.0
2017-07-06,225106.0
2017-07-10,251722.0
2017-07-14,227903.0
2017-07-18,260575.0
2017-07-22,223358.0
2017-07-26,237853.0
2017-07-30,184145.0
2017-08-03,213017.0
2017-08-07,249002.0
2017-08-11,284001.0
2017-08-15,311002.0
2017-08-19,266832.0
2017-08-23,315734.0
2017-08-27,261891.0
2017-08-31,280724.0
2017-09-04,269280.0
2017-09-08,279488.0
2017-09-12,256230.0
2017-09-16,228257.0
2017-09-20,235723.0
2017-09-24,185277.0
2017-09-28,275976.0
2017-10-02,295002.0
2017-10-06,283699.0
2017-10-10,303101.0
2017-10-14,293140.0
2017-10-18,329579.0
2017-10-22,289131.0
2017-10-26,265827.0
2017-10-30,316077.0
2017-11-03,277598.0
2017-11-07,335636.0
2017-11-11,197081.0
2017-11-15,321788.0
2017-11-19,264855.0
2017-11-23,352207.0
2017-11-27,379256.0
2017-12-01,412908.0
2017-12-05,405709.0
2017-12-09,403399.0
2017-12-13,424579.0
2017-12-17,391910.0
2017-12-21,335482.0
2017-12-25,228926.0
2017-12-29,353824.0
2018-01-02,340980.0
2018-01-06,358847.0
2018-01-10,347393.0
2018-01-14,235045.0
2018-01-18,309495.0
2018-01-22,245562.0
2018-01-26,220459.0
2018-01-30,236609.0
2018-02-03,194891.0
2018-02-07,213719.0
2018-02-11,147208.0
2018-02-15,198183.0
2018-02-19,187367.0
2018-02-23,185193.0
2018-02-27,219624.0
2018-03-03,177024.0
2018-03-07,213978.0
2018-03-11,150884.0
2018-03-15,206186.0
2018-03-19,191528.0
2018-03-23,179818.0
2018-03-27,187065.0
2018-03-31,148617.0
2018-04-04,185710.0
2018-04-08,138535.0
2018-04-12,210879.0
2018-04-16,196106.0
2018-04-20,207777.0
2018-04-24,254493.0
2018-04-28,203681.0
2018-05-02,212296.0
2018-05-06,171761.0
2018-05-10,208961.0
2018-05-14,209697.0
2018-05-18,211496.0
2018-05-22,203337.0
2018-05-26,158783.0
2018-05-30,204077.0
2018-06-03,163443.0
2018-06-07,207627.0
2018-06-11,213196.0
2018-06-15,205861.0
2018-06-19,191805.0
2018-06-23,163295.0
2018-06-27,188510.0
2018-07-01,156247.0
2018-07-05,199600.0
2018-07-09,206546.0
2018-07-13,207904.0
2018-07-17,233966.0
2018-07-21,184803.0
2018-07-25,250208.0
2018-07-29,168407.0
2018-08-02,224873.0
2018-08-06,218607.0
2018-08-10,226148.0
2018-08-14,247622.0
2018-08-18,190935.0
2018-08-22,230333.0
2018-08-26,172747.0
2018-08-30,231391.0
2018-09-03,222897.0
2018-09-07,230790.0
2018-09-11,237571.0
2018-09-15,211071.0
2018-09-19,251037.0
2018-09-23,200319.0
2018-09-27,248686.0
2018-10-01,242820.0
2018-10-05,244719.0
2018-10-09,235862.0
2018-10-13,205097.0
2018-10-17,260362.0
2018-10-21,211505.0
2018-10-25,254599.0
2018-10-29,269754.0
2018-11-02,292704.0
2018-11-06,285451.0
2018-11-10,252499.0
2018-11-14,292755.0
2018-11-18,239803.0
2018-11-22,266116.0
2018-11-26,257062.0
2018-11-30,250157.0
2018-12-04,270189.0
2018-12-08,231104.0
2018-12-12,261423.0
2018-12-16,226453.0
2018-12-20,287273.0
2018-12-24,272297.0
2018-12-28,308267.0
2019-01-01,234725.0
2019-01-05,265192.0
2019-01-09,319056.0
2019-01-13,276997.0
2019-01-17,296695.0
2019-01-21,315202.0
2019-01-25,301085.0
2019-01-29,326162.0
2019-02-02,322032.0
2019-02-06,349596.0
2019-02-10,299609.0
2019-02-14,354483.0
2019-02-18,344274.0
2019-02-22,350306.0
2019-02-26,366568.0
2019-03-02,335864.0
2019-03-06,277863.0
